second_tier_authority,name,code,year,emissions_sector,emissions_sector_subsector,value,units
Scotland,Aberdeen City,S12000033,2014,Industry and Commercial,B Industry And Commercial Gas,171.63351307433103,kilotonnes
Scotland,Aberdeen City,S12000033,2014,Industry and Commercial,C Large Industrial Installations,71.30917470205283,kilotonnes
Scotland,Aberdeen City,S12000033,2014,Industry and Commercial,D Industrial And Commercial Other Fuels,95.84902169440505,kilotonnes
Scotland,Aberdeen City,S12000033,2014,Industry and Commercial,E Agriculture,5.555585211581599,kilotonnes
Scotland,Aberdeen City,S12000033,2014,Domestic,F Domestic Electricity,182.7738231305497,kilotonnes
Scotland,Aberdeen City,S12000033,2014,Domestic,G Domestic Gas,239.12883912963753,kilotonnes
Scotland,Aberdeen City,S12000033,2014,Domestic,H Domestic Other Fuels,6.845613302464984,kilotonnes
Scotland,Aberdeen City,S12000033,2014,Transport,I Road Transport A Roads,139.91706209181845,kilotonnes
Scotland,Aberdeen City,S12000033,2014,Transport,J Road Transport Motorways,0,kilotonnes
Scotland,Aberdeen City,S12000033,2014,Transport,K Road Transport Minor Roads,148.7105552304181,kilotonnes
Scotland,Aberdeen City,S12000033,2014,Transport,L Diesel Railways,1.9551378462980222,kilotonnes
Scotland,Aberdeen City,S12000033,2014,Transport,M Transport Other,22.477648515845903,kilotonnes
Scotland,Aberdeen City,S12000033,2014,LULUCF,N Lulucf Net Emissions Forest,-16.824846378848747,kilotonnes
Scotland,Aberdeen City,S12000033,2014,LULUCF,O Lulucf Net Emissions Cropland,31.706261323911857,kilotonnes
Scotland,Aberdeen City,S12000033,2014,LULUCF,P Lulucf Net Emissions Grassland,-20.062433882037183,kilotonnes
Scotland,Aberdeen City,S12000033,2014,LULUCF,Q Lulucf Net Emissions Wetlands,0,kilotonnes
Scotland,Aberdeen City,S12000033,2014,LULUCF,R Lulucf Net Emissions Settlements,7.908331871214402,kilotonnes
Scotland,Aberdeen City,S12000033,2014,LULUCF,S Lulucf Net Emissions Harvested Wood Products,0,kilotonnes
Scotland,Aberdeen City,S12000033,2015,Industry and Commercial,A Industry And Commercial Electricity,282.0756095321574,kilotonnes
Scotland,Aberdeen City,S12000033,2015,Industry and Commercial,B Industry And Commercial Gas,192.28282369623747,kilotonnes
Scotland,Aberdeen City,S12000033,2015,Industry and Commercial,C Large Industrial Installations,73.05005392210192,kilotonnes
Scotland,Aberdeen City,S12000033,2015,Industry and Commercial,D Industrial And Commercial Other Fuels,98.17455673394451,kilotonnes
Scotland,Aberdeen City,S12000033,2015,Industry and Commercial,E Agriculture,5.029204633379259,kilotonnes
Scotland,Aberdeen City,S12000033,2015,Domestic,F Domestic Electricity,150.7763826757445,kilotonnes
Scotland,Aberdeen City,S12000033,2015,Domestic,G Domestic Gas,254.88928827166706,kilotonnes
Scotland,Aberdeen City,S12000033,2015,Domestic,H Domestic Other Fuels,6.97939718790835,kilotonnes
Scotland,Aberdeen City,S12000033,2015,Transport,I Road Transport A Roads,144.27151489557502,kilotonnes
Scotland,Aberdeen City,S12000033,2015,Transport,J Road Transport Motorways,0,kilotonnes
Scotland,Aberdeen City,S12000033,2015,Transport,K Road Transport Minor Roads,146.1929765769641,kilotonnes
Scotland,Aberdeen City,S12000033,2015,Transport,L Diesel Railways,1.9519716181713784,kilotonnes
Scotland,Aberdeen City,S12000033,2015,Transport,M Transport Other,23.620455157586527,kilotonnes
Scotland,Aberdeen City,S12000033,2015,LULUCF,N Lulucf Net Emissions Forest,-16.774953714712293,kilotonnes
Scotland,Aberdeen City,S12000033,2015,LULUCF,O Lulucf Net Emissions Cropland,31.019240364927597,kilotonnes
Scotland,Aberdeen City,S12000033,2015,LULUCF,P Lulucf Net Emissions Grassland,-20.355662737664176,kilotonnes
Scotland,Aberdeen City,S12000033,2015,LULUCF,Q Lulucf Net Emissions Wetlands,0,kilotonnes
Scotland,Aberdeen City,S12000033,2015,LULUCF,R Lulucf Net Emissions Settlements,7.926476534071181,kilotonnes
Scotland,Aberdeen City,S12000033,2015,LULUCF,S Lulucf Net Emissions Harvested Wood Products,0,kilotonnes
Scotland,Aberdeen City,S12000033,2016,Industry and Commercial,A Industry And Commercial Electricity,214.31216151066985,kilotonnes
Scotland,Aberdeen City,S12000033,2016,Industry and Commercial,B Industry And Commercial Gas,188.77724628508804,kilotonnes
Scotland,Aberdeen City,S12000033,2016,Industry and Commercial,C Large Industrial Installations,79.53633596513363,kilotonnes
