name,code,year,emissions_sector,value,units
Argyll and Bute,S12000035,2007,Transport,199.85078633554213,kilotonnes
Argyll and Bute,S12000035,2007,LULUCF,-545.9721036011149,kilotonnes
Argyll and Bute,S12000035,2007,Grand,264.3326365240706,kilotonnes
Argyll and Bute,S12000035,2008,Industry And Commercial,292.56357148424854,kilotonnes
Argyll and Bute,S12000035,2008,Domestic,305.6849832667027,kilotonnes
Argyll and Bute,S12000035,2008,Transport,192.2907816562777,kilotonnes
Argyll and Bute,S12000035,2008,LULUCF,-595.0406358655243,kilotonnes
Argyll and Bute,S12000035,2008,Grand,195.4987005417046,kilotonnes
Argyll and Bute,S12000035,2009,Industry And Commercial,273.35390781049,kilotonnes
Argyll and Bute,S12000035,2009,Domestic,278.5970821827511,kilotonnes
Argyll and Bute,S12000035,2009,Transport,188.07823635779883,kilotonnes
Argyll and Bute,S12000035,2009,LULUCF,-600.2996726844517,kilotonnes
Argyll and Bute,S12000035,2009,Grand,139.7295536665884,kilotonnes
Argyll and Bute,S12000035,2010,Industry And Commercial,285.5399120911943,kilotonnes
Argyll and Bute,S12000035,2010,Domestic,295.35396659344553,kilotonnes
Argyll and Bute,S12000035,2010,Transport,186.87768402045597,kilotonnes
Argyll and Bute,S12000035,2010,LULUCF,-582.8297674483017,kilotonnes
Argyll and Bute,S12000035,2010,Grand,184.94179525679422,kilotonnes
Argyll and Bute,S12000035,2011,Industry And Commercial,263.1593655203662,kilotonnes
Argyll and Bute,S12000035,2011,Domestic,261.61505886080164,kilotonnes
Argyll and Bute,S12000035,2011,Transport,183.36990277697413,kilotonnes
Argyll and Bute,S12000035,2011,LULUCF,-602.6533195218014,kilotonnes
Argyll and Bute,S12000035,2011,Grand,105.49100763634068,kilotonnes
Argyll and Bute,S12000035,2012,Industry And Commercial,276.1512027322331,kilotonnes
Argyll and Bute,S12000035,2012,Domestic,275.7894771640914,kilotonnes
Argyll and Bute,S12000035,2012,Transport,180.8042616128239,kilotonnes
Argyll and Bute,S12000035,2012,LULUCF,-539.5082125016949,kilotonnes
Argyll and Bute,S12000035,2012,Grand,193.23672900745353,kilotonnes
Argyll and Bute,S12000035,2013,Industry And Commercial,257.4513866507191,kilotonnes
Argyll and Bute,S12000035,2013,Domestic,256.25866007618083,kilotonnes
Argyll and Bute,S12000035,2013,Transport,181.22101513224158,kilotonnes
Argyll and Bute,S12000035,2013,LULUCF,-524.374139545466,kilotonnes
Argyll and Bute,S12000035,2013,Grand,170.5569223136751,kilotonnes
Argyll and Bute,S12000035,2014,Industry And Commercial,249.74324662789104,kilotonnes
Argyll and Bute,S12000035,2014,Domestic,219.0225199137588,kilotonnes
Argyll and Bute,S12000035,2014,Transport,184.7143700031617,kilotonnes
Argyll and Bute,S12000035,2014,LULUCF,-522.5594922369309,kilotonnes
Argyll and Bute,S12000035,2014,Grand,130.92064430788062,kilotonnes
Argyll and Bute,S12000035,2015,Industry And Commercial,226.23224228043472,kilotonnes
Argyll and Bute,S12000035,2015,Domestic,201.07336740671002,kilotonnes
Argyll and Bute,S12000035,2015,Transport,191.5626841246474,kilotonnes
Argyll and Bute,S12000035,2015,LULUCF,-502.4355024587421,kilotonnes
Argyll and Bute,S12000035,2015,Grand,116.43279135305012,kilotonnes
Argyll and Bute,S12000035,2016,Industry And Commercial,205.30149782014945,kilotonnes
Argyll and Bute,S12000035,2016,Domestic,184.18255761597257,kilotonnes
Argyll and Bute,S12000035,2016,Transport,197.67879776904806,kilotonnes
Argyll and Bute,S12000035,2016,LULUCF,-492.86152969795694,kilotonnes
Argyll and Bute,S12000035,2016,Grand,94.30132350721313,kilotonnes
Argyll and Bute,S12000035,2017,Industry And Commercial,200.5574534624636,kilotonnes
Argyll and Bute,S12000035,2017,Domestic,171.92146102423158,kilotonnes
Argyll and Bute,S12000035,2017,Transport,204.6182822998835,kilotonnes
Argyll and Bute,S12000035,2017,LULUCF,-513.3890483182888,kilotonnes
Argyll and Bute,S12000035,2017,Grand,63.70814846828992,kilotonnes
Argyll and Bute,S12000035,2018,Industry And Commercial,202.67863526461235,kilotonnes
Argyll and Bute,S12000035,2018,Domestic,166.75345446056582,kilotonnes
Argyll and Bute,S12000035,2018,Transport,198.92185036794078,kilotonnes
Argyll and Bute,S12000035,2018,LULUCF,-510.81338113955576,kilotonnes
Argyll and Bute,S12000035,2018,Grand,57.54055895356302,kilotonnes
City of Edinburgh,S12000036,2005,Industry And Commercial,1394.3564953134683,kilotonnes
City of Edinburgh,S12000036,2005,Domestic,1182.1735351647242,kilotonnes
City of Edinburgh,S12000036,2005,Transport,854.0643435814211,kilotonnes
City of Edinburgh,S12000036,2005,LULUCF,26.702934687136057,kilotonnes
City of Edinburgh,S12000036,2005,Grand,3457.2973087467494,kilotonnes
City of Edinburgh,S12000036,2006,Industry And Commercial,1447.7122962717178,kilotonnes
City of Edinburgh,S12000036,2006,Domestic,1177.066051060239,kilotonnes
City of Edinburgh,S12000036,2006,Transport,841.0598941102404,kilotonnes
City of Edinburgh,S12000036,2006,LULUCF,24.775651038692907,kilotonnes
City of Edinburgh,S12000036,2006,Grand,3490.6138924808906,kilotonnes
City of Edinburgh,S12000036,2007,Industry And Commercial,1424.3595394180466,kilotonnes
City of Edinburgh,S12000036,2007,Domestic,1161.5177999543316,kilotonnes
City of Edinburgh,S12000036,2007,Transport,858.9711531284155,kilotonnes
City of Edinburgh,S12000036,2007,LULUCF,23.45864736635972,kilotonnes
City of Edinburgh,S12000036,2007,Grand,3468.307139867153,kilotonnes
City of Edinburgh,S12000036,2008,Industry And Commercial,1420.1305682693862,kilotonnes
City of Edinburgh,S12000036,2008,Domestic,1158.5747063410593,kilotonnes
City of Edinburgh,S12000036,2008,Transport,829.1476819520936,kilotonnes
City of Edinburgh,S12000036,2008,LULUCF,21.851699610352128,kilotonnes
City of Edinburgh,S12000036,2008,Grand,3429.704656172891,kilotonnes
City of Edinburgh,S12000036,2009,Industry And Commercial,1256.814131747839,kilotonnes
City of Edinburgh,S12000036,2009,Domestic,1037.8443051935237,kilotonnes
City of Edinburgh,S12000036,2009,Transport,815.0168107050407,kilotonnes
City of Edinburgh,S12000036,2009,LULUCF,20.64900271252118,kilotonnes
City of Edinburgh,S12000036,2009,Grand,3130.324250358925,kilotonnes
City of Edinburgh,S12000036,2010,Industry And Commercial,1320.585940111445,kilotonnes
City of Edinburgh,S12000036,2010,Domestic,1100.6266327734625,kilotonnes
City of Edinburgh,S12000036,2010,Transport,796.1049194384711,kilotonnes
City of Edinburgh,S12000036,2010,LULUCF,19.329406123997057,kilotonnes
City of Edinburgh,S12000036,2010,Grand,3236.646898447375,kilotonnes
City of Edinburgh,S12000036,2011,Industry And Commercial,1183.3722983102118,kilotonnes
City of Edinburgh,S12000036,2011,Domestic,970.80566192189406,kilotonnes
City of Edinburgh,S12000036,2011,Transport,776.0988507479072,kilotonnes
City of Edinburgh,S12000036,2011,LULUCF,17.739720313123286,kilotonnes
City of Edinburgh,S12000036,2011,Grand,2948.0165312931367,kilotonnes
City of Edinburgh,S12000036,2012,Industry And Commercial,1278.1448828932632,kilotonnes
City of Edinburgh,S12000036,2012,Domestic,1057.7788456130804,kilotonnes
City of Edinburgh,S12000036,2012,Transport,760.299740514303,kilotonnes
City of Edinburgh,S12000036,2012,LULUCF,16.981392392766594,kilotonnes
City of Edinburgh,S12000036,2012,Grand,3113.204861413413,kilotonnes
City of Edinburgh,S12000036,2013,Industry And Commercial,1226.4669255148856,kilotonnes
City of Edinburgh,S12000036,2013,Domestic,1023.1300439859446,kilotonnes
City of Edinburgh,S12000036,2013,Transport,755.933303804875,kilotonnes
City of Edinburgh,S12000036,2013,LULUCF,15.768764045113107,kilotonnes
City of Edinburgh,S12000036,2013,Grand,3021.2990373508183,kilotonnes
City of Edinburgh,S12000036,2014,Industry And Commercial,947.9383029065839,kilotonnes
City of Edinburgh,S12000036,2014,Domestic,861.3433564923237,kilotonnes
City of Edinburgh,S12000036,2014,Transport,759.9522706997211,kilotonnes
City of Edinburgh,S12000036,2014,LULUCF,14.686178559964725,kilotonnes
City of Edinburgh,S12000036,2014,Grand,2583.9201086585936,kilotonnes
City of Edinburgh,S12000036,2015,Industry And Commercial,874.4481905219018,kilotonnes
City of Edinburgh,S12000036,2015,Domestic,830.4405987540362,kilotonnes
City of Edinburgh,S12000036,2015,Transport,776.9648904786795,kilotonnes
City of Edinburgh,S12000036,2015,LULUCF,13.53519993067494,kilotonnes
City of Edinburgh,S12000036,2015,Grand,2495.388879685292,kilotonnes
City of Edinburgh,S12000036,2016,Industry And Commercial,797.09278774864,kilotonnes
City of Edinburgh,S12000036,2016,Domestic,784.0545492792535,kilotonnes
City of Edinburgh,S12000036,2016,Transport,794.9291538997751,kilotonnes
City of Edinburgh,S12000036,2016,LULUCF,12.436097363222078,kilotonnes
City of Edinburgh,S12000036,2016,Grand,2388.5125882908906,kilotonnes
City of Edinburgh,S12000036,2017,Industry And Commercial,742.7999446937372,kilotonnes
City of Edinburgh,S12000036,2017,Domestic,737.6840351263439,kilotonnes
City of Edinburgh,S12000036,2017,Transport,792.833917012891,kilotonnes
City of Edinburgh,S12000036,2017,LULUCF,11.291278782263344,kilotonnes
City of Edinburgh,S12000036,2017,Grand,2284.609175615235,kilotonnes
City of Edinburgh,S12000036,2018,Industry And Commercial,745.9276638209302,kilotonnes
City of Edinburgh,S12000036,2018,Domestic,728.2596254123409,kilotonnes
City of Edinburgh,S12000036,2018,Transport,780.6463821567954,kilotonnes
City of Edinburgh,S12000036,2018,LULUCF,10.474462375665244,kilotonnes
City of Edinburgh,S12000036,2018,Grand,2265.3081337657313,kilotonnes
Clackmannanshire,S12000005,2005,Industry And Commercial,376.53222737019274,kilotonnes
Clackmannanshire,S12000005,2005,Domestic,133.957088122068,kilotonnes
Clackmannanshire,S12000005,2005,Transport,80.46516120969444,kilotonnes
Clackmannanshire,S12000005,2005,LULUCF,11.798231117410038,kilotonnes
Clackmannanshire,S12000005,2005,Grand,602.7527078193651,kilotonnes
Clackmannanshire,S12000005,2006,Industry And Commercial,382.3637820617277,kilotonnes
Clackmannanshire,S12000005,2006,Domestic,132.8971987534621,kilotonnes
Clackmannanshire,S12000005,2006,Transport,81.36386957202072,kilotonnes
Clackmannanshire,S12000005,2006,LULUCF,10.511596124545443,kilotonnes
Clackmannanshire,S12000005,2006,Grand,607.1364465117558,kilotonnes
Clackmannanshire,S12000005,2007,Industry And Commercial,450.67968042715654,kilotonnes
Clackmannanshire,S12000005,2007,Domestic,130.84412622800716,kilotonnes
Clackmannanshire,S12000005,2007,Transport,82.57279395088418,kilotonnes
Clackmannanshire,S12000005,2007,LULUCF,9.983788276515215,kilotonnes
Clackmannanshire,S12000005,2007,Grand,674.080388882563,kilotonnes
Clackmannanshire,S12000005,2008,Industry And Commercial,464.3459728557644,kilotonnes
Clackmannanshire,S12000005,2008,Domestic,130.92016263421766,kilotonnes
Clackmannanshire,S12000005,2008,Transport,81.59981981279479,kilotonnes
Clackmannanshire,S12000005,2008,LULUCF,8.848344286288885,kilotonnes
Clackmannanshire,S12000005,2008,Grand,685.7142995890657,kilotonnes
Clackmannanshire,S12000005,2009,Industry And Commercial,361.93520070119337,kilotonnes
Clackmannanshire,S12000005,2009,Domestic,119.15373435910632,kilotonnes
Clackmannanshire,S12000005,2009,Transport,80.68693903977439,kilotonnes
Clackmannanshire,S12000005,2009,LULUCF,8.108167546461203,kilotonnes
Clackmannanshire,S12000005,2009,Grand,569.8840416465353,kilotonnes
Clackmannanshire,S12000005,2010,Industry And Commercial,460.78772353477734,kilotonnes
Clackmannanshire,S12000005,2010,Domestic,126.42750081674068,kilotonnes
Clackmannanshire,S12000005,2010,Transport,80.5439675186545,kilotonnes
Clackmannanshire,S12000005,2010,LULUCF,7.437103416828755,kilotonnes
